ISO3,Country,Country_edit,lc_group,who_region,hdi_level,,,,,,,,
AFG,Afghanistan,Afghanistan,Asia,Eastern Mediterranean,Low,,,,,,,,
ALB,Albania,Albania,Europe,Europe,High,,,,,,,,
DZA,Algeria,Algeria,Africa,Africa,High,,,,,,,,
AND,Andorra,Andorra,Europe,Europe,Very High,,,,,,,,
AGO,Angola,Angola,Africa,Africa,Medium,,,,,,,,
ATG,Antigua and Barbuda,Antigua and Barbuda,SIDS,Americas,High,,,,,,,,
ARG,Argentina,Argentina,South and Central America,Americas,Very High,,,,,,,,
ARM,Armenia,Armenia,Asia,Europe,High,,,,,,,,
AUS,Australia,Australia,Oceania,Western Pacific,Very High,,,,,,,,
AUT,Austria,Austria,Europe,Europe,Very High,,,,,,,,
AZE,Azerbaijan,Azerbaijan,Asia,Europe,High,,,,,,,,
BHS,Bahamas,Bahamas,SIDS,Americas,Very High,,,,,,,,
BHR,Bahrain,Bahrain,Asia,Eastern Mediterranean,Very High,,,,,,,,
BGD,Bangladesh,Bangladesh,Asia,South-East Asia,Medium,,,,,,,,
BRB,Barbados,Barbados,SIDS,Americas,High,,,,,,,,
BLR,Belarus,Belarus,Europe,Europe,Very High,,,,,,,,
BEL,Belgium,Belgium,Europe,Europe,Very High,,,,,,,,
BLZ,Belize,Belize,SIDS,Americas,Medium,,,,,,,,
BEN,Benin,Benin,Africa,Africa,Low,,,,,,,,
BTN,Bhutan,Bhutan,Asia,South-East Asia,Medium,,,,,,,,
VEN,Bolivarian Republic of Venezuela,Bolivarian Republic of Venezuela,South and Central America,Americas,Medium,,,,,,,,
BOL,Bolivia,Bolivia,South and Central America,Americas,Medium,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Europe,Europe,High,,,,,,,,
BWA,Botswana,Botswana,Africa,Africa,Medium,,,,,,,,
BRA,Brazil,Brazil,South and Central America,Americas,High,,,,,,,,
BRN,Brunei Darussalam,Brunei,Asia,Western Pacific,Very High,,,,,,,,
BGR,Bulgaria,Bulgaria,Europe,Europe,High,,,,,,,,
BFA,Burkina Faso,Burkina Faso,Africa,Africa,Low,,,,,,,,
BDI,Burundi,Burundi,Africa,Africa,Low,,,,,,,,
CPV,Cabo Verde,Cape Verde,SIDS,Africa,Medium,,,,,,,,
KHM,Cambodia,Cambodia,Asia,Western Pacific,Medium,,,,,,,,
CMR,Cameroon,Cameroon,Africa,Africa,Medium,,,,,,,,
CAN,Canada,Canada,Northern America,Americas,Very High,,,,,,,,
CAF,Central African Republic,Central African Republic,Africa,Africa,Low,,,,,,,,
TCD,Chad,Chad,Africa,Africa,Low,,,,,,,,
CHL,Chile,Chile,South and Central America,Americas,Very High,,,,,,,,
CHN,China,China,Asia,Western Pacific,High,,,,,,,,
COL,Colombia,Colombia,South and Central America,Americas,High,,,,,,,,
COM,Comoros,Comoros,SIDS,Africa,Medium,,,,,,,,
COG,Congo,Republic of the Congo,Africa,Africa,Medium,,,,,,,,
COK,Cook Islands,Cook Islands,SIDS,Western Pacific,N/A,,,,,,,,
CRI,Costa Rica,Costa Rica,South and Central America,Americas,Very High,,,,,,,,
CIV,Cote d'Ivoire,Cote d'Ivoire,Africa,Africa,Medium,,,,,,,,
HRV,Croatia,Croatia,Europe,Europe,Very High,,,,,,,,
CUB,Cuba,Cuba,SIDS,Americas,High,,,,,,,,
CYP,Cyprus,Cyprus,Asia,Europe,Very High,,,,,,,,
CZE,Czechia,Czech Republic,Europe,Europe,Very High,,,,,,,,
PRK,Democratic People's Republic of Korea,Democratic People's Republic of Korea,Asia,South-East Asia,N/A,,,,,,,,
COD,Democratic Republic of the Congo,Democratic Republic of the Congo,Africa,Africa,Low,,,,,,,,
DNK,Denmark,Denmark,Europe,Europe,Very High,,,,,,,,
DJI,Djibouti,Djibouti,Africa,Eastern Mediterranean,Low,,,,,,,,
DMA,Dominica,Dominica,SIDS,Americas,High,,,,,,,,
DOM,Dominican Republic,Dominican Republic,SIDS,Americas,High,,,,,,,,
ECU,Ecuador,Ecuador,South and Central America,Americas,High,,,,,,,,
EGY,Egypt,Egypt,Africa,Eastern Mediterranean,High,,,,,,,,
SLV,El Salvador,El Salvador,South and Central America,Americas,Medium,,,,,,,,
GNQ,Equatorial Guinea,Equatorial Guinea,Africa,Africa,Medium,,,,,,,,
ERI,Eritrea,Eritrea,Africa,Africa,Low,,,,,,,,
EST,Estonia,Estonia,Europe,Europe,Very High,,,,,,,,
SWZ,Eswatini,Eswatini,Africa,Africa,Medium,,,,,,,,
ETH,Ethiopia,Ethiopia,Africa,Africa,Low,,,,,,,,
FSM,Federated States of Micronesia,Federated States of Micronesia,SIDS,Western Pacific,Medium,,,,,,,,
FJI,Fiji,Fiji,SIDS,Western Pacific,High,,,,,,,,
FIN,Finland,Finland,Europe,Europe,Very High,,,,,,,,
FRA,France,France,Europe,Europe,Very High,,,,,,,,
GAB,Gabon,Gabon,Africa,Africa,High,,,,,,,,
GMB,Gambia,Gambia,Africa,Africa,Low,,,,,,,,
GEO,Georgia,Georgia,Asia,Europe,Very High,,,,,,,,
DEU,Germany,Germany,Europe,Europe,Very High,,,,,,,,
GHA,Ghana,Ghana,Africa,Africa,Medium,,,,,,,,
GRC,Greece,Greece,Europe,Europe,Very High,,,,,,,,
GRD,Grenada,Grenada,SIDS,Americas,High,,,,,,,,
GTM,Guatemala,Guatemala,South and Central America,Americas,Medium,,,,,,,,
GIN,Guinea,Guinea,Africa,Africa,Low,,,,,,,,
GNB,Guinea Bissau,Guinea-Bissau,SIDS,Africa,Low,,,,,,,,
GUY,Guyana,Guyana,SIDS,Americas,High,,,,,,,,
HTI,Haiti,Haiti,SIDS,Americas,Low,,,,,,,,
HND,Honduras,Honduras,South and Central America,Americas,Medium,,,,,,,,
HUN,Hungary,Hungary,Europe,Europe,Very High,,,,,,,,
ISL,Iceland,Iceland,Europe,Europe,Very High,,,,,,,,
IND,India,India,Asia,South-East Asia,Medium,,,,,,,,
IDN,Indonesia,Indonesia,Asia,South-East Asia,High,,,,,,,,
IRQ,Iraq,Iraq,Asia,Eastern Mediterranean,Medium,,,,,,,,
IRL,Ireland,Ireland,Europe,Europe,Very High,,,,,,,,
IRN,Islamic Republic of Iran,Iran,Asia,Eastern Mediterranean,High,,,,,,,,
ISR,Israel,Israel,Asia,Europe,Very High,,,,,,,,
ITA,Italy,Italy,Europe,Europe,Very High,,,,,,,,
JAM,Jamaica,Jamaica,SIDS,Americas,High,,,,,,,,
JPN,Japan,Japan,Asia,Western Pacific,Very High,,,,,,,,
JOR,Jordan,Jordan,Asia,Eastern Mediterranean,High,,,,,,,,
KAZ,Kazakhstan,Kazakhstan,Asia,Europe,Very High,,,,,,,,
